time_s,resp
239.5000,19.0719
239.7500,17.7213
240.0000,16.0198
240.2500,9.8240
240.5000,3.5748
240.7500,-1.4765
241.0000,-4.2081
241.2500,-2.0182
241.5000,7.7638
241.7500,14.6692
242.0000,18.4538
242.2500,19.9799
242.5000,19.9799
242.7500,18.4844
243.0000,20.2775
243.2500,15.9664
243.5000,8.3208
243.7500,1.8961
244.0000,-3.3535
244.2500,-6.6345
244.5000,-3.0330
244.7500,6.3217
245.0000,12.9219
245.2500,16.7370
245.5000,18.9956
245.7500,20.0409
246.0000,16.2411
246.2500,9.2594
246.5000,3.1780
246.7500,-1.3086
247.0000,-4.4675
247.2500,-7.1534
247.5000,-6.2988
247.7500,3.4756
248.0000,10.9075
248.2500,15.2644
248.5000,17.3017
248.7500,17.6145
249.0000,15.9359
249.2500,8.0004
249.5000,2.4379
249.7500,0.3624
250.0000,-0.4464
250.2500,-0.3548
250.5000,4.9254
250.7500,12.1894
251.0000,17.3551
251.2500,19.7128
251.5000,20.9184
251.7500,19.7128
252.0000,20.7506
252.2500,19.4000
252.5000,11.8308
252.7500,5.0245
253.0000,0.0038
253.2500,-3.5137
253.5000,-3.0025
253.7500,6.3064
254.0000,13.0516
254.2500,16.6684
254.5000,18.3775
254.7500,18.5073
255.0000,16.6150
255.2500,15.1805
255.5000,12.2504
255.7500,7.1763
256.0000,2.0106
256.2500,-2.2853
256.5000,-5.3221
256.7500,-2.1403
257.0000,7.1992
257.2500,13.6391
257.5000,17.1262
257.7500,18.7438
258.0000,19.9036
258.2500,20.4606
258.5000,15.1347
258.7500,6.4209
259.0000,-0.5456
259.2500,-5.6044
259.5000,-8.4582
259.7500,-6.9321
260.0000,2.7660
260.2500,10.3734
260.5000,14.7455
260.7500,17.2940
261.0000,18.9422
261.2500,13.7841
261.5000,5.6731
261.7500,-0.1717
262.0000,-1.2704
262.2500,-1.0415
262.5000,5.9249
262.7500,12.3573
263.0000,16.8210
263.2500,19.1635
263.5000,20.3843
263.7500,21.2847
264.0000,21.4754
264.2500,19.3695
264.5000,13.9901
264.7500,5.3298
265.0000,-1.7206
265.2500,-10.2589
265.5000,-14.2267
265.7500,-4.8414
266.0000,2.8881
266.2500,9.1373
266.5000,13.2500
266.7500,15.3941
267.0000,16.2792
267.2500,16.6150
267.5000,9.1144
267.7500,3.1399
268.0000,-0.5608
268.2500,-3.2391
268.5000,2.2013
268.7500,9.3585
269.0000,14.3182
269.2500,17.3475
269.5000,18.7591
269.7500,19.3542
270.0000,19.5068
270.2500,18.6751
270.5000,13.7994
270.7500,6.3980
271.0000,-0.1564
271.2500,-5.1390
271.5000,-7.9851
271.7500,-1.6443
272.0000,6.3370
272.2500,11.8155
272.5000,15.0736
272.7500,17.1720
273.0000,18.6065
273.2500,19.0185
273.5000,17.7137
273.7500,13.2195
274.0000,5.5587
274.2500,-1.9724
274.5000,-7.7257
274.7500,-11.3119
275.0000,-8.8244
275.2500,0.5379
275.5000,7.6036
275.7500,12.1436
276.0000,14.9744
276.2500,16.7752
276.5000,18.1792
276.7500,18.9193
277.0000,17.8663
277.2500,14.9210
277.5000,7.9088
277.7500,1.5909
278.0000,-2.8957
278.2500,-6.2149
278.5000,-8.1835
278.7500,-7.6265
279.0000,1.3773
279.2500,8.7405
279.5000,13.3797
279.7500,15.7604
280.0000,17.3093
280.2500,18.3012
280.5000,17.9197
280.7500,16.0579
281.0000,14.4403
281.2500,8.0690
281.5000,2.8423
281.7500,-0.4693
282.0000,-2.8423
282.2500,-4.7575
282.5000,-0.2861
282.7500,7.9317
283.0000,13.7231
283.2500,16.9507
283.5000,18.7438
283.7500,19.7739
284.0000,19.8120
284.2500,18.2097
284.5000,14.7684
284.7500,11.6934
285.0000,7.9775
285.2500,3.2619
285.5000,-0.9118
285.7500,-2.9644
286.0000,4.2691
286.2500,11.4569
286.5000,16.3097
286.7500,18.9422
287.0000,20.2546
287.2500,21.5136
287.5000,22.0248
287.7500,19.9646
288.0000,16.1114
288.2500,11.8155
288.5000,6.8253
288.7500,2.1556
289.0000,-1.7664
289.2500,-3.7732
289.5000,-0.8050
289.7500,7.8859
290.0000,14.1961
290.2500,17.8282
290.5000,19.7052
290.7500,21.0253
291.0000,21.6891
291.2500,20.0104
291.5000,17.6756
291.7500,15.4628
292.0000,9.2441
292.2500,4.3149
292.5000,0.1412
292.7500,-3.0788
293.0000,1.8427
293.2500,10.2131
293.5000,15.5696
293.7500,18.4157
294.0000,19.9265
294.2500,21.1321
294.5000,21.4068
294.7500,19.2169
295.0000,15.3102
295.2500,9.6561
295.5000,4.2768
295.7500,0.2175
296.0000,-2.3463
296.2500,1.6825
296.5000,10.6175
296.7500,16.4089
297.0000,19.3084
297.2500,20.7429
297.5000,21.6433
297.7500,21.0558
298.0000,18.4462
298.2500,17.3551
298.5000,12.6396
298.7500,7.1458
299.0000,2.1250
299.2500,-0.2938
299.5000,-1.4078
299.7500,5.3908
