"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.242066471E0,3.207096457E-1,7.172749043E-1,-1.790122986E-1,8.058432653E-1
1.247066471E0,2.943918705E-1,7.182821035E-1,-1.844558716E-1,7.978845294E-1
1.252066471E0,2.531585097E-1,7.151488066E-1,-1.909885406E-1,7.823066338E-1
1.257066471E0,2.182151824E-1,7.026038170E-1,-1.704950333E-1,7.552076177E-1
1.262066471E0,1.839511693E-1,6.545512676E-1,-1.604185104E-1,6.985767625E-1
1.267066471E0,1.345624477E-1,5.637491941E-1,-1.901655197E-1,6.099861729E-1
1.272066471E0,6.035190821E-2,5.420607328E-1,-2.067375183E-1,5.832774575E-1
1.277066471E0,-3.006070852E-3,4.857088327E-1,-2.173118591E-1,5.321151668E-1
1.282066471E0,-5.004617572E-2,4.302449226E-1,-1.742706299E-1,4.668892434E-1
1.287066471E0,-9.833288193E-2,3.613059521E-1,-1.465682983E-1,4.021114432E-1
1.292066471E0,-1.477394700E-1,2.903363705E-1,-8.882236481E-2,3.376559958E-1
1.297066471E0,-1.945658624E-1,2.070045471E-1,-5.384540558E-2,2.891471685E-1
1.302066471E0,-2.235941291E-1,1.204414368E-1,4.026412964E-3,2.540013509E-1
1.307066471E0,-2.762045264E-1,5.537950993E-2,4.877567291E-2,2.858931563E-1
1.312066471E0,-2.968377173E-1,-1.141023636E-2,2.445220947E-2,2.980616286E-1
1.317066471E0,-3.196069896E-1,-7.821881771E-2,-3.886222839E-3,3.290621734E-1
1.322066471E0,-3.214226961E-1,-1.344287395E-1,-4.635429382E-2,3.514717004E-1
1.327066471E0,-3.445610404E-1,-1.926321983E-1,-1.202764511E-1,4.126692369E-1
1.332066471E0,-3.351107836E-1,-2.304933071E-1,-1.618766785E-1,4.377561661E-1
1.337066471E0,-3.099776804E-1,-2.827345133E-1,-2.123565674E-1,4.702342811E-1
1.342066471E0,-3.011381626E-1,-3.108487129E-1,-2.287759781E-1,4.895401551E-1
