"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.136296870E-1,2.344966233E-1,9.394221306E0,-3.881158352E0,1.016709264E1
4.157194270E-1,2.153540403E-1,9.365508080E0,-3.857230186E0,1.013100901E1
4.178091140E-1,1.866401732E-1,9.360722542E0,-3.857230186E0,1.012601530E1
4.198988020E-1,1.914258152E-1,9.341579437E0,-3.833301783E0,1.009930457E1
4.219884890E-1,1.962114573E-1,9.308079720E0,-3.799802303E0,1.005571204E1
4.240781770E-1,2.057827413E-1,9.284152031E0,-3.795016766E0,1.003194785E1
4.261679160E-1,2.201396823E-1,9.284152031E0,-3.780659676E0,1.002683041E1
4.282576040E-1,2.536391914E-1,9.279366493E0,-3.795016766E0,1.002861544E1
4.303472910E-1,2.679961324E-1,9.288937569E0,-3.795016766E0,1.003784515E1
4.324370310E-1,3.110669553E-1,9.288937569E0,-3.771088600E0,1.003006645E1
4.345267190E-1,3.062812984E-1,9.279366493E0,-3.771088600E0,1.002105583E1
4.366164060E-1,2.775674164E-1,9.265008926E0,-3.694518089E0,9.978321401E0
4.387060940E-1,2.488535494E-1,9.236295700E0,-3.651447296E0,9.934996412E0
4.407957810E-1,2.105683982E-1,9.207581520E0,-3.570091486E0,9.877724926E0
4.428854690E-1,2.201396823E-1,9.178867340E0,-3.503092289E0,9.827091264E0
4.449752080E-1,2.105683982E-1,9.150154114E0,-3.436093330E0,9.776318158E0
4.470648960E-1,2.105683982E-1,9.131011009E0,-3.383451223E0,9.739991955E0
4.491545830E-1,2.057827413E-1,9.107083321E0,-3.302095175E0,9.689434746E0
4.512442710E-1,2.105683982E-1,9.073583603E0,-3.215953588E0,9.628946772E0
4.533340100E-1,1.914258152E-1,9.059226990E0,-3.148954630E0,9.592817769E0
4.554236980E-1,1.674975902E-1,9.035298347E0,-3.086741209E0,9.549483911E0
4.575133850E-1,1.914258152E-1,9.030512810E0,-3.034099102E0,9.528513148E0
4.596030730E-1,2.009970993E-1,9.030512810E0,-2.967100143E0,9.507588795E0
4.616927600E-1,1.962114573E-1,9.035298347E0,-2.904886723E0,9.492812125E0
4.637824480E-1,2.153540403E-1,9.064012527E0,-2.861815929E0,9.507507080E0
4.658721870E-1,2.201396823E-1,9.073583603E0,-2.809173822E0,9.501044071E0
4.679618750E-1,2.344966233E-1,9.092725754E0,-2.766103029E0,9.507048768E0
4.700515620E-1,2.632105052E-1,9.131011009E0,-2.746960402E0,9.538890568E0
4.721413020E-1,2.632105052E-1,9.154939651E0,-2.675175667E0,9.541423617E0
4.742309890E-1,2.632105052E-1,9.159725189E0,-2.574677229E0,9.518340619E0
4.763206770E-1,2.536391914E-1,9.154939651E0,-2.455035925E0,9.481795940E0
4.784103640E-1,2.297109663E-1,9.169296265E0,-2.321038008E0,9.461288419E0
4.805001040E-1,2.057827413E-1,9.164510727E0,-2.196611166E0,9.426330358E0
4.825897390E-1,1.674975902E-1,9.140582085E0,-2.100898266E0,9.380408830E0
4.846794790E-1,1.435693651E-1,9.135796547E0,-2.005185366E0,9.354365775E0
4.867691660E-1,1.387837082E-1,9.107083321E0,-1.914258122E0,9.307126930E0
4.888588540E-1,1.818545163E-1,9.107083321E0,-1.885544300E0,9.302005965E0
4.909485940E-1,2.105683982E-1,9.111868858E0,-1.861616015E0,9.302478558E0
4.930382810E-1,2.488535494E-1,9.097511292E0,-1.799402595E0,9.277094884E0
4.951279690E-1,2.919243574E-1,9.097511292E0,-1.732403636E0,9.265589775E0
4.972176560E-1,3.158525825E-1,9.092725754E0,-1.655833244E0,9.247659608E0
4.993073960E-1,3.349951804E-1,9.087940216E0,-1.555334687E0,9.226155490E0
5.013970310E-1,3.684946895E-1,9.078369141E0,-1.459621787E0,9.202340482E0
5.034867710E-1,3.637090325E-1,9.107083321E0,-1.378265858E0,9.217964398E0
5.055764580E-1,3.493520916E-1,9.111868858E0,-1.263410330E0,9.205672525E0
5.076661460E-1,3.541377485E-1,9.126225471E0,-1.191625714E0,9.210503610E0
5.097558850E-1,3.637090325E-1,9.154939651E0,-1.124626637E0,9.230925704E0
5.118455730E-1,3.589234054E-1,9.183652878E0,-1.076770186E0,9.253525827E0
5.139352600E-1,3.780659735E-1,9.212367058E0,-1.062413216E0,9.281129378E0
5.160249480E-1,3.780659735E-1,9.231510162E0,-1.019342422E0,9.295309179E0
5.181146870E-1,3.637090325E-1,9.274580956E0,-9.810572863E-1,9.333413607E0
5.202043750E-1,3.684946895E-1,9.260223389E0,-9.140582681E-1,9.312519963E0
5.222940620E-1,3.493520916E-1,9.260223389E0,-8.422735929E-1,9.305009882E0
5.243837500E-1,3.302095234E-1,9.260223389E0,-7.417750359E-1,9.295752027E0
5.264734890E-1,3.014956415E-1,9.245866776E0,-6.269195080E-1,9.271999791E0
5.285631770E-1,2.967100143E-1,9.231510162E0,-5.120640397E-1,9.250460869E0
5.306528640E-1,3.014956415E-1,9.212367058E0,-4.163511395E-1,9.226697931E0
5.327425520E-1,3.206382394E-1,9.202795982E0,-2.775674164E-1,9.212562426E0
5.348322390E-1,3.254238665E-1,9.193224907E0,-1.579262912E-1,9.200338341E0
5.369219270E-1,3.349951804E-1,9.154939651E0,-5.264209956E-2,9.161217877E0
5.390116660E-1,3.589234054E-1,9.145368576E0,4.785645381E-2,9.152534220E0
5.411013540E-1,4.019941986E-1,9.116654396E0,1.100698411E-1,9.126176751E0
5.431910410E-1,4.642075896E-1,9.126225471E0,1.627119333E-1,9.139472371E0
5.452807290E-1,5.168496966E-1,9.111868858E0,2.249253243E-1,9.129286889E0
5.473704690E-1,5.647061467E-1,9.078369141E0,3.110669553E-1,9.101232990E0
5.494601040E-1,5.742774606E-1,9.035298347E0,3.684946895E-1,9.061026386E0
5.515498440E-1,5.647061467E-1,8.997013092E0,4.450650215E-1,9.025697784E0
5.536395310E-1,5.455635786E-1,8.963513374E0,4.833501875E-1,8.993099523E0
5.557292710E-1,5.168496966E-1,8.944371223E0,5.407779217E-1,8.975597526E0
5.578189580E-1,4.977070987E-1,8.920442581E0,5.982056856E-1,8.954320647E0
5.599086460E-1,4.929214716E-1,8.906085968E0,6.364908218E-1,8.942396738E0
5.619983330E-1,4.785645306E-1,8.882157326E0,7.178468108E-1,8.923959145E0
5.640880210E-1,4.642075896E-1,8.872586250E0,8.087740541E-1,8.921456772E0
5.661777600E-1,4.785645306E-1,8.872586250E0,8.997012973E-1,8.930916706E0
5.682674480E-1,5.024927258E-1,8.891729355E0,1.000199914E0,8.961905474E0
5.703571350E-1,5.216353536E-1,8.886942863E0,1.081555843E0,8.967698698E0
5.724468230E-1,5.838487148E-1,8.910871506E0,1.186840057E0,9.008501520E0
5.745365620E-1,6.221339107E-1,8.920442581E0,1.287338614E0,9.034300590E0
5.766262500E-1,6.029912829E-1,8.920442581E0,1.416550994E0,9.052320755E0
5.787159370E-1,5.982056856E-1,8.920442581E0,1.540977836E0,9.072307236E0
5.808056250E-1,5.599204898E-1,8.910871506E0,1.674975872E0,9.084199806E0
5.828953640E-1,5.264210105E-1,8.891729355E0,1.818545222E0,9.091043764E0
5.849850520E-1,5.024927258E-1,8.891729355E0,1.947757602E0,9.116419776E0
5.870747390E-1,4.929214716E-1,8.886942863E0,2.033899307E0,9.130031294E0
5.891644270E-1,4.977070987E-1,8.886942863E0,2.096112728E0,9.144350955E0
5.912541140E-1,5.216353536E-1,8.882157326E0,2.148754835E0,9.153249125E0
5.933438020E-1,5.264210105E-1,8.872586250E0,2.206182480E0,9.157900796E0
5.954334890E-1,5.168496966E-1,8.843872070E0,2.268395901E0,9.144770460E0
5.975232290E-1,4.881358147E-1,8.815158844E0,2.311466694E0,9.126235823E0
5.996129160E-1,4.689932466E-1,8.776873589E0,2.411965132E0,9.114331597E0
6.017026040E-1,4.402793646E-1,8.743373871E0,2.493321180E0,9.102586614E0
6.037922910E-1,4.450650215E-1,8.719446182E0,2.560320139E0,9.098464915E0
6.058820310E-1,4.450650215E-1,8.700303078E0,2.627319336E0,9.099239716E0
6.079717190E-1,4.546363056E-1,8.652446747E0,2.675175667E0,9.067970761E0
6.100614060E-1,4.737788737E-1,8.628518105E0,2.742174864E0,9.066163140E0
6.121511460E-1,4.929214716E-1,8.599804878E0,2.794816732E0,9.055971295E0
6.142408330E-1,5.407779217E-1,8.585447311E0,2.837887764E0,9.058474113E0
6.163305210E-1,5.694918036E-1,8.571090698E0,2.880958557E0,9.060233931E0
6.184202080E-1,6.125625968E-1,8.571090698E0,2.914458036E0,9.073747536E0
6.205098960E-1,6.460621357E-1,8.542376518E0,2.957528830E0,9.062922798E0
6.225995830E-1,6.652047038E-1,8.508877754E0,3.019742250E0,9.053305540E0
6.246893230E-1,6.652047038E-1,8.489734650E0,3.086741209E0,9.057928185E0
6.267790100E-1,6.795616150E-1,8.451449394E0,3.163311481E0,9.049604432E0
6.288687500E-1,6.460621357E-1,8.403593063E0,3.239881754E0,9.029651512E0
6.309583850E-1,6.221339107E-1,8.355736732E0,3.306880951E0,9.007821522E0
6.330481250E-1,5.934200287E-1,8.303094864E0,3.412165165E0,8.996466126E0
6.351378120E-1,5.838487148E-1,8.245666504E0,3.488735437E0,8.972355898E0
6.372275000E-1,5.599204898E-1,8.231309891E0,3.546163082E0,8.980158466E0
6.393171870E-1,5.647061467E-1,8.183453560E0,3.594019651E0,8.955712281E0
6.414069270E-1,5.694918036E-1,8.164310455E0,3.646661758E0,8.959822995E0
6.434966140E-1,5.694918036E-1,8.140382767E0,3.713660717E0,8.965569052E0
6.455863020E-1,5.551348329E-1,8.121239662E0,3.795016766E0,8.981361845E0
6.476759890E-1,5.647061467E-1,8.111668587E0,3.862015724E0,9.001845686E0
6.497656770E-1,5.359922647E-1,8.087740898E0,3.938585997E0,9.011731254E0
6.518553640E-1,4.929214716E-1,8.054241180E0,3.996013880E0,9.004548823E0
6.539451040E-1,4.833501875E-1,8.049455643E0,4.072584152E0,9.034008259E0
6.560347910E-1,4.594219327E-1,8.039883614E0,4.125226021E0,9.048109568E0
6.581244790E-1,4.211367965E-1,8.015955925E0,4.163511276E0,9.042551174E0
6.602142190E-1,4.067798555E-1,8.001599312E0,4.206582069E0,9.049110128E0
6.623039060E-1,3.972085714E-1,7.968099594E0,4.273581028E0,9.050518250E0
6.643935940E-1,3.637090325E-1,7.948956966E0,4.326223373E0,9.057284902E0
6.664832810E-1,3.445664644E-1,7.901100159E0,4.374079704E0,9.037625962E0
6.685729690E-1,3.397808075E-1,7.877171993E0,4.407579422E0,9.032831559E0
6.706626560E-1,3.493520916E-1,7.843672752E0,4.450650215E0,9.025161299E0
6.727523960E-1,3.780659735E-1,7.829315662E0,4.493721008E0,9.035189324E0
