time_s,acc_x,acc_y,acc_z
562.63281,-38.28571,-838.74286,-535.62857
562.64062,-38.28571,-838.74286,-535.62857
562.64844,-38.28571,-841.68571,-535.62857
562.65625,-38.28571,-841.68571,-535.62857
562.66406,-38.28571,-838.74286,-535.62857
562.67188,-38.28571,-838.74286,-535.62857
562.67969,-38.28571,-838.74286,-535.62857
562.68750,-38.28571,-838.74286,-535.62857
562.69531,-38.28571,-835.80000,-538.57143
562.70312,-38.28571,-835.80000,-538.57143
562.71094,-38.28571,-838.74286,-535.62857
562.71875,-38.28571,-838.74286,-535.62857
562.72656,-38.28571,-841.68571,-535.62857
562.73438,-38.28571,-841.68571,-532.68571
562.74219,-38.28571,-841.68571,-532.68571
562.75000,-35.34286,-841.68571,-535.62857
562.75781,-35.34286,-841.68571,-535.62857
562.76562,-35.34286,-838.74286,-535.62857
562.77344,-35.34286,-838.74286,-535.62857
562.78125,-38.28571,-835.80000,-538.57143
562.78906,-38.28571,-835.80000,-538.57143
562.79688,-38.28571,-832.85714,-541.51429
562.80469,-41.22857,-832.85714,-538.57143
562.81250,-41.22857,-835.80000,-535.62857
562.82031,-41.22857,-838.74286,-532.68571
562.82812,-41.22857,-841.68571,-532.68571
562.83594,-41.22857,-844.62857,-532.68571
562.84375,-38.28571,-844.62857,-532.68571
562.85156,-38.28571,-844.62857,-532.68571
562.85938,-35.34286,-844.62857,-535.62857
562.86719,-35.34286,-841.68571,-535.62857
562.87500,-32.40000,-838.74286,-538.57143
562.88281,-32.40000,-835.80000,-538.57143
562.89062,-32.40000,-835.80000,-541.51429
562.89844,-35.34286,-832.85714,-541.51429
562.90625,-35.34286,-832.85714,-538.57143
562.91406,-38.28571,-835.80000,-535.62857
562.92188,-38.28571,-838.74286,-532.68571
562.92969,-38.28571,-841.68571,-532.68571
562.93750,-38.28571,-841.68571,-532.68571
562.94531,-38.28571,-841.68571,-532.68571
562.95312,-41.22857,-844.62857,-532.68571
562.96094,-41.22857,-841.68571,-532.68571
562.96875,-38.28571,-838.74286,-535.62857
562.97656,-41.22857,-838.74286,-535.62857
562.98438,-38.28571,-835.80000,-535.62857
562.99219,-38.28571,-835.80000,-535.62857
563.00000,-38.28571,-838.74286,-535.62857
563.00781,-35.34286,-838.74286,-535.62857
563.01562,-35.34286,-838.74286,-535.62857
563.02344,-35.34286,-841.68571,-535.62857
563.03125,-35.34286,-841.68571,-535.62857
563.03906,-35.34286,-841.68571,-535.62857
563.04688,-35.34286,-841.68571,-535.62857
563.05469,-38.28571,-841.68571,-535.62857
563.06250,-38.28571,-841.68571,-535.62857
563.07031,-38.28571,-838.74286,-535.62857
563.07812,-38.28571,-838.74286,-535.62857
563.08594,-38.28571,-838.74286,-532.68571
563.09375,-38.28571,-838.74286,-535.62857
563.10156,-38.28571,-838.74286,-535.62857
563.10938,-38.28571,-838.74286,-535.62857
563.11719,-38.28571,-838.74286,-535.62857
563.12500,-38.28571,-838.74286,-535.62857
563.13281,-38.28571,-841.68571,-535.62857
563.14062,-38.28571,-841.68571,-535.62857
563.14844,-35.34286,-841.68571,-535.62857
563.15625,-35.34286,-841.68571,-535.62857
563.16406,-38.28571,-841.68571,-532.68571
563.17188,-38.28571,-841.68571,-532.68571
563.17969,-38.28571,-841.68571,-535.62857
563.18750,-38.28571,-838.74286,-532.68571
563.19531,-38.28571,-838.74286,-532.68571
563.20312,-38.28571,-838.74286,-532.68571
563.21094,-38.28571,-838.74286,-532.68571
563.21875,-38.28571,-838.74286,-535.62857
563.22656,-38.28571,-838.74286,-535.62857
563.23438,-38.28571,-838.74286,-535.62857
563.24219,-38.28571,-838.74286,-535.62857
563.25000,-38.28571,-838.74286,-532.68571
563.25781,-38.28571,-838.74286,-532.68571
563.26562,-38.28571,-838.74286,-532.68571
563.27344,-38.28571,-838.74286,-535.62857
563.28125,-38.28571,-838.74286,-535.62857
563.28906,-38.28571,-838.74286,-535.62857
563.29688,-38.28571,-838.74286,-535.62857
563.30469,-38.28571,-838.74286,-535.62857
563.31250,-38.28571,-838.74286,-535.62857
563.32031,-38.28571,-838.74286,-538.57143
563.32812,-38.28571,-838.74286,-535.62857
563.33594,-38.28571,-838.74286,-535.62857
563.34375,-38.28571,-838.74286,-532.68571
563.35156,-38.28571,-838.74286,-532.68571
563.35938,-38.28571,-841.68571,-532.68571
563.36719,-38.28571,-841.68571,-532.68571
563.37500,-38.28571,-841.68571,-535.62857
563.38281,-38.28571,-838.74286,-535.62857
563.39062,-38.28571,-838.74286,-535.62857
563.39844,-38.28571,-838.74286,-535.62857
563.40625,-38.28571,-838.74286,-535.62857
563.41406,-38.28571,-838.74286,-535.62857
563.42188,-38.28571,-838.74286,-535.62857
563.42969,-38.28571,-838.74286,-535.62857
563.43750,-38.28571,-838.74286,-532.68571
563.44531,-38.28571,-841.68571,-532.68571
563.45312,-38.28571,-841.68571,-532.68571
563.46094,-38.28571,-841.68571,-532.68571
563.46875,-38.28571,-841.68571,-532.68571
563.47656,-38.28571,-841.68571,-532.68571
563.48438,-38.28571,-841.68571,-532.68571
563.49219,-38.28571,-838.74286,-535.62857
563.50000,-38.28571,-838.74286,-535.62857
563.50781,-38.28571,-835.80000,-535.62857
563.51562,-38.28571,-835.80000,-535.62857
563.52344,-38.28571,-838.74286,-535.62857
563.53125,-38.28571,-841.68571,-535.62857
